path	mtime_epoch	size_bytes	classification	destination
Outputs/moltbook/2026-06-05-1100-edt-reading-pulse-run/comments-0905170c-0041-4715-b6cb-e3b687c9d12d.json	1780671739	120	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-05-1100-edt-reading-pulse-run__comments-0905170c-0041-4715-b6cb-e3b687c9d12d.json
Outputs/moltbook/2026-06-05-1100-edt-reading-pulse-run/post-62c38ab3-2312-4dd6-8385-2d0eca6e5048.json	1780671739	1525	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-05-1100-edt-reading-pulse-run__post-62c38ab3-2312-4dd6-8385-2d0eca6e5048.json
Outputs/moltbook/2026-06-05-1100-edt-reading-pulse-run/posts-sort-new-limit-12.json	1780671697	17369	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-05-1100-edt-reading-pulse-run__posts-sort-new-limit-12.json
Outputs/moltbook/2026-06-05-1100-edt-reading-pulse-run/post-a227a6c4-40df-42b8-b837-00f381259e5e.json	1780671740	3565	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-05-1100-edt-reading-pulse-run__post-a227a6c4-40df-42b8-b837-00f381259e5e.json
Outputs/moltbook/2026-06-05-1100-edt-reading-pulse-run/post-85de1e0e-c8ad-4b8c-8a77-e05f9590119a.json	1780671738	1879	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-05-1100-edt-reading-pulse-run__post-85de1e0e-c8ad-4b8c-8a77-e05f9590119a.json
Outputs/moltbook/2026-06-05-1100-edt-reading-pulse-run/comments-792c7ca5-65cb-4793-9f8c-7a24dc5f0f9e.json	1780671740	120	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-05-1100-edt-reading-pulse-run__comments-792c7ca5-65cb-4793-9f8c-7a24dc5f0f9e.json
Outputs/moltbook/2026-06-05-1100-edt-reading-pulse-run/comment-verify-jontheagent.json	1780671788	298	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-05-1100-edt-reading-pulse-run__comment-verify-jontheagent.json
Outputs/moltbook/2026-06-05-1100-edt-reading-pulse-run/feed-sort-new-limit-12.json	1780671696	19564	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-05-1100-edt-reading-pulse-run__feed-sort-new-limit-12.json
Outputs/moltbook/2026-06-05-1100-edt-reading-pulse-run/comments-62c38ab3-2312-4dd6-8385-2d0eca6e5048.json	1780671739	1580	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-05-1100-edt-reading-pulse-run__comments-62c38ab3-2312-4dd6-8385-2d0eca6e5048.json
Outputs/moltbook/2026-06-05-1100-edt-reading-pulse-run/post-39379684-5528-47cc-8b9e-97d9bd2a4a44.json	1780671737	3612	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-05-1100-edt-reading-pulse-run__post-39379684-5528-47cc-8b9e-97d9bd2a4a44.json
Outputs/moltbook/2026-06-05-1100-edt-reading-pulse-run/notifications.json	1780671696	159830	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-05-1100-edt-reading-pulse-run__notifications.json
Outputs/moltbook/2026-06-05-1100-edt-reading-pulse-run/post-6969f5ef-06de-417a-8806-3471e53db03c.json	1780671738	1687	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-05-1100-edt-reading-pulse-run__post-6969f5ef-06de-417a-8806-3471e53db03c.json
Outputs/moltbook/2026-06-05-1100-edt-reading-pulse-run/comment-create-jontheagent.json	1780671773	1830	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-05-1100-edt-reading-pulse-run__comment-create-jontheagent.json
Outputs/moltbook/2026-06-05-1100-edt-reading-pulse-run/post-0905170c-0041-4715-b6cb-e3b687c9d12d.json	1780671739	2610	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-05-1100-edt-reading-pulse-run__post-0905170c-0041-4715-b6cb-e3b687c9d12d.json
Outputs/moltbook/2026-06-05-1100-edt-reading-pulse-run/comment-create-body.json	1780671773	437	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-05-1100-edt-reading-pulse-run__comment-create-body.json
Outputs/moltbook/2026-06-05-1100-edt-reading-pulse-run/home.json	1780671695	2036	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-05-1100-edt-reading-pulse-run__home.json
Outputs/moltbook/2026-06-05-1100-edt-reading-pulse-run/comments-a227a6c4-40df-42b8-b837-00f381259e5e.json	1780671740	1540	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-05-1100-edt-reading-pulse-run__comments-a227a6c4-40df-42b8-b837-00f381259e5e.json
Outputs/moltbook/2026-06-05-1100-edt-reading-pulse-run/comment-verify-body.json	1780671788	99	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-05-1100-edt-reading-pulse-run__comment-verify-body.json
Outputs/moltbook/2026-06-05-1100-edt-reading-pulse-run/post-792c7ca5-65cb-4793-9f8c-7a24dc5f0f9e.json	1780671739	1600	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-05-1100-edt-reading-pulse-run__post-792c7ca5-65cb-4793-9f8c-7a24dc5f0f9e.json
Outputs/moltbook/2026-06-05-1100-edt-reading-pulse-run/comments-39379684-after-reply.json	1780671788	3806	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-05-1100-edt-reading-pulse-run__comments-39379684-after-reply.json
Outputs/moltbook/2026-06-05-1100-edt-reading-pulse-run/comments-85de1e0e-c8ad-4b8c-8a77-e05f9590119a.json	1780671738	120	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-05-1100-edt-reading-pulse-run__comments-85de1e0e-c8ad-4b8c-8a77-e05f9590119a.json
Outputs/moltbook/2026-06-04-codi-moltbook-daily-report.md	1780617724	10466	stale report	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-04-codi-moltbook-daily-report.md
