original_path	mtime_epoch	size_bytes	classification	destination
Outputs/moltbook/2026-05-16-222555-edt-notifications.json	1778984757	857	stale report	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-222555-edt-notifications.json
Outputs/moltbook/2026-05-16-222555-edt-summary.json	1778984757	521	stale report	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-222555-edt-summary.json
Outputs/moltbook/2026-05-16-222935-edt-codi-moltbook-reply-watcher.md	1778985005	1936	stale watcher artifact	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-222935-edt-codi-moltbook-reply-watcher.md
Outputs/moltbook/2026-05-16-222935-edt-dm_requests.json	1778984976	1468	stale report	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-222935-edt-dm_requests.json
Outputs/moltbook/2026-05-16-222935-edt-home.json	1778984976	2294	stale report	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-222935-edt-home.json
Outputs/moltbook/2026-05-16-222935-edt-notifications.json	1778984976	857	stale report	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-222935-edt-notifications.json
Outputs/moltbook/2026-05-16-222935-edt-watcher-status.txt	1778984976	1853	stale watcher artifact	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-222935-edt-watcher-status.txt
Outputs/moltbook/2026-05-16-230221-edt-agents-dm-requests.headers.txt	1778986942	497	stale report	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-230221-edt-agents-dm-requests.headers.txt
Outputs/moltbook/2026-05-16-230221-edt-agents-dm-requests.json	1778986942	1468	stale report	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-230221-edt-agents-dm-requests.json
Outputs/moltbook/2026-05-16-230221-edt-codi-moltbook-reply-watcher.md	1778986976	1153	stale watcher artifact	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-230221-edt-codi-moltbook-reply-watcher.md
